time,high,average,open,low
2018-05-04 14:00:00,9688.41,9663.74,9646.32,9634.82
2018-05-04 13:00:00,9708.45,9683.67,9683.64,9626.41
2018-05-04 12:00:00,9748.22,9720.45,9735.32,9677.72
2018-05-04 11:00:00,9751.84,9680.68,9687.65,9640.37
2018-05-04 10:00:00,9725.71,9703.14,9722.41,9686.9
2018-05-04 09:00:00,9763.65,9710.58,9755.29,9654.32
2018-05-04 08:00:00,9769.52,9732.01,9669.18,9663.88
2018-05-04 07:00:00,9686.29,9665.63,9667.44,9643.87
2018-05-04 06:00:00,9688.62,9626.39,9613.91,9594.78
2018-05-04 05:00:00,9630.77,9614.47,9630,9599.55
2018-05-04 04:00:00,9632.81,9616.08,9574.93,9574.93
2018-05-04 03:00:00,9632.85,9599.48,9621,9558.02
2018-05-04 02:00:00,9642.01,9624.26,9613.14,9602.49
2018-05-04 01:00:00,9662.26,9621.98,9601.32,9594.35
2018-05-04 00:00:00,9736.18,9602.94,9736.18,9537.44
2018-05-03 23:00:00,9786.66,9753.95,9696.14,9696.14
2018-05-03 22:00:00,9696.14,9654.15,9654.83,9640.25
2018-05-03 21:00:00,9662.34,9654.48,9657.31,9646.11
2018-05-03 20:00:00,9658.4,9635.58,9648.33,9604.8
2018-05-03 19:00:00,9693.43,9655,9656.96,9610.11
2018-05-03 18:00:00,9730.24,9661.85,9681.98,9622.64
2018-05-03 17:00:00,9681.98,9592.78,9580.27,9547.16
2018-05-03 16:00:00,9580.27,9445.71,9412.8,9407.99
2018-05-03 15:00:00,9439.19,9412.6,9429.14,9396.96
2018-05-03 14:00:00,9451.53,9425.32,9440.49,9400.85
2018-05-03 13:00:00,9440.49,9336.61,9318.09,9289.72
2018-05-03 12:00:00,9333.22,9241.16,9198.37,9191.84
2018-05-03 11:00:00,9213.67,9197.17,9211.14,9176.97
2018-05-03 10:00:00,9217.18,9208.88,9197.18,9197.18
2018-05-03 09:00:00,9218.12,9196.41,9218.12,9174.35
2018-05-03 08:00:00,9235.99,9210.53,9231.58,9188.82
2018-05-03 07:00:00,9234.65,9215.18,9201.38,9191.14
2018-05-03 06:00:00,9214.08,9199.17,9192.72,9162.92
2018-05-03 05:00:00,9261.54,9226.92,9256.41,9173.02
2018-05-03 04:00:00,9273.4,9255.84,9223.32,9223.32
2018-05-03 03:00:00,9256.76,9235.09,9234.73,9213.86
2018-05-03 02:00:00,9237.47,9218.43,9221.21,9194.09
2018-05-03 01:00:00,9231.37,9209.22,9188.38,9188.38
2018-05-03 00:00:00,9228.3,9203.33,9216.77,9182.79
2018-05-02 23:00:00,9255.34,9226.43,9244.89,9198.11
2018-05-02 22:00:00,9244.89,9220.43,9222.89,9197.46
2018-05-02 21:00:00,9243.68,9214.46,9176.3,9176.3
2018-05-02 20:00:00,9176.3,9126.4,9117.03,9106.81
2018-05-02 19:00:00,9117.49,9096.69,9116.91,9057.59
2018-05-02 18:00:00,9123.66,9112.91,9114.73,9095.87
2018-05-02 17:00:00,9127.27,9116.73,9119.92,9106.68
2018-05-02 16:00:00,9150.18,9133.04,9141.57,9119.92
2018-05-02 15:00:00,9141.79,9117.78,9075.26,9075.26
2018-05-02 14:00:00,9110.22,9090.43,9093.85,9074.77
2018-05-02 13:00:00,9093.85,9064.4,9077.6,9029
2018-05-02 12:00:00,9162.61,9129.78,9153.83,9075.33
2018-05-02 11:00:00,9182.38,9161.66,9154.59,9153.56
2018-05-02 10:00:00,9181.35,9157.3,9122.55,9122.55
2018-05-02 09:00:00,9142.88,9126.41,9118.04,9118.02
2018-05-02 08:00:00,9144.79,9124.13,9141.97,9106.13
2018-05-02 07:00:00,9154.8,9140.6,9154.8,9124.75
2018-05-02 06:00:00,9154.8,9088.52,9061.35,9061.35
2018-05-02 05:00:00,9090.35,9077.14,9071.01,9060.62
2018-05-02 04:00:00,9077.61,9060.39,9028.46,9028.46
2018-05-02 03:00:00,9037.57,9023.55,9037.57,9001.79
2018-05-02 02:00:00,9041.18,9029.98,9023.47,9015.58
2018-05-02 01:00:00,9032.42,9015.1,9032.42,8982.63
2018-05-02 00:00:00,9092.51,9064.82,9066.04,9021.38
2018-05-01 23:00:00,9087.82,9062.59,9039.35,9035.98
2018-05-01 22:00:00,9083.58,9069.29,9075.31,9037.88
2018-05-01 21:00:00,9091.82,9066.86,9019.74,9019.74
2018-05-01 20:00:00,9041.81,8995.66,8974.91,8973.59
2018-05-01 19:00:00,8989.37,8979.96,8982.68,8970.58
2018-05-01 18:00:00,9005.05,8981.56,8996.13,8949
2018-05-01 17:00:00,9023.03,8983.89,8987.19,8960.69
2018-05-01 16:00:00,8992.29,8956.47,8916.31,8916.31
2018-05-01 15:00:00,8947.28,8925.99,8916.04,8903.98
2018-05-01 14:00:00,8932.02,8915.69,8927.12,8891.85
2018-05-01 13:00:00,8938.02,8907.42,8898.81,8860.91
2018-05-01 12:00:00,8989.45,8921.9,8981.54,8843.55
2018-05-01 11:00:00,9046.74,9023.8,9026.92,8975.32
2018-05-01 10:00:00,9037.29,9017.17,9030.48,8991.33
2018-05-01 09:00:00,9063.29,9046.05,9042.23,9023.94
2018-05-01 08:00:00,9060.36,9027.34,8987.74,8986.87
2018-05-01 07:00:00,9011.78,8991.09,8981.37,8977.44
2018-05-01 06:00:00,8985.98,8967.64,8945.53,8945.53
2018-05-01 05:00:00,8982.55,8949.12,8982.55,8923.02
2018-05-01 04:00:00,9004.38,8987.24,8954.27,8954.27
2018-05-01 03:00:00,9021.22,8980.05,9021.22,8935.06
2018-05-01 02:00:00,9036.96,8996.97,9003.45,8957.16
2018-05-01 01:00:00,9021.88,8979.19,8985.85,8897.12
2018-05-01 00:00:00,9242.37,9112.92,9242.37,8978.19
2018-04-30 23:00:00,9246.68,9227.69,9190.1,9190.1
2018-04-30 22:00:00,9282.44,9243.21,9228.2,9180.28
2018-04-30 21:00:00,9280.18,9240.58,9280.18,9218.96
2018-04-30 20:00:00,9329.82,9312.51,9319.2,9279.16
2018-04-30 19:00:00,9339,9310.34,9333.29,9287.93
2018-04-30 18:00:00,9350.95,9335.55,9326.27,9322.03
2018-04-30 17:00:00,9332.91,9312.26,9276.67,9276.67
2018-04-30 16:00:00,9337.85,9305.26,9304.15,9273.32
2018-04-30 15:00:00,9304.15,9281.49,9271.33,9257.13
2018-04-30 14:00:00,9292.03,9279.67,9285.23,9265.28
2018-04-30 13:00:00,9317.6,9297.65,9298.53,9284.6
2018-04-30 12:00:00,9301.44,9288.45,9268.48,9268.48
2018-04-30 11:00:00,9272.44,9262.39,9260.08,9250.43
2018-04-30 10:00:00,9276.58,9227.26,9218.16,9191.73
2018-04-30 09:00:00,9233.21,9210.13,9195.08,9176.52
2018-04-30 08:00:00,9249.95,9195.2,9227.17,9135.52
2018-04-30 07:00:00,9306.66,9237.93,9304.87,9205.11
2018-04-30 06:00:00,9347.28,9312.2,9345.35,9276.14
2018-04-30 05:00:00,9350.16,9320.68,9271.41,9271.41
2018-04-30 04:00:00,9326.82,9301.59,9283.58,9271.41
2018-04-30 03:00:00,9450.63,9377.99,9431.42,9273.42
